Date,Open,High,Low,Close,Volume
29-09-17,966.00,975.81,966.00,973.72,2031092
28-09-17,956.25,966.18,955.55,964.81,1400931
27-09-17,942.74,965.43,941.95,959.90,2327854
26-09-17,936.69,944.08,935.12,937.43,1672749
25-09-17,939.45,939.75,924.51,934.28,1873375
22-09-17,942.77,950.00,940.84,943.26,1074806
21-09-17,948.13,952.80,939.38,947.55,1370685
20-09-17,937.73,950.00,937.50,947.54,2004018
19-09-17,933.41,937.94,926.66,936.86,1242726
18-09-17,935.01,936.86,925.40,929.75,1473651
15-09-17,940.09,941.75,931.25,935.29,1994265
14-09-17,946.00,948.03,938.36,940.13,1427379
13-09-17,945.50,952.85,944.74,950.44,1095382
12-09-17,946.92,948.08,937.50,946.65,1284787
11-09-17,947.20,952.68,941.00,943.29,1337365
8-09-17,949.70,950.70,940.01,941.41,999916
7-09-17,944.25,950.50,937.53,949.89,1116575
6-09-17,943.87,944.50,932.68,942.02,1391529
5-09-17,946.86,951.39,935.60,941.48,1460830
1-09-17,957.47,958.33,950.28,951.99,1042885
